Edad	Sexo	Unidad	Periodo	Total
De 20 a 24 años	Ambos sexos	Porcentaje	2014T2	5,8
De 20 a 24 años	Ambos sexos	Porcentaje	2014T1	5,9
De 20 a 24 años	Ambos sexos	Porcentaje	2013T4	6,0
De 20 a 24 años	Ambos sexos	Porcentaje	2013T3	6,3
De 20 a 24 años	Ambos sexos	Porcentaje	2013T2	6,1
De 20 a 24 años	Ambos sexos	Porcentaje	2013T1	6,2
De 20 a 24 años	Ambos sexos	Porcentaje	2012T4	6,3
De 20 a 24 años	Ambos sexos	Porcentaje	2012T3	6,6
De 20 a 24 años	Ambos sexos	Porcentaje	2012T2	6,4
De 20 a 24 años	Ambos sexos	Porcentaje	2012T1	6,4
De 20 a 24 años	Ambos sexos	Porcentaje	2011T4	6,6
De 20 a 24 años	Ambos sexos	Porcentaje	2011T3	7,0
De 20 a 24 años	Ambos sexos	Porcentaje	2011T2	6,8
De 20 a 24 años	Ambos sexos	Porcentaje	2011T1	6,8
De 20 a 24 años	Ambos sexos	Porcentaje	2010T4	7,0
De 20 a 24 años	Ambos sexos	Porcentaje	2010T3	7,4
De 20 a 24 años	Ambos sexos	Porcentaje	2010T2	7,2
De 20 a 24 años	Ambos sexos	Porcentaje	2010T1	7,2
De 20 a 24 años	Ambos sexos	Porcentaje	2009T4	7,4
De 20 a 24 años	Ambos sexos	Porcentaje	2009T3	7,8
De 20 a 24 años	Ambos sexos	Porcentaje	2009T2	7,7
De 20 a 24 años	Ambos sexos	Porcentaje	2009T1	7,8
De 20 a 24 años	Ambos sexos	Porcentaje	2008T4	8,1
De 20 a 24 años	Ambos sexos	Porcentaje	2008T3	8,4
De 20 a 24 años	Ambos sexos	Porcentaje	2008T2	8,2
De 20 a 24 años	Ambos sexos	Porcentaje	2008T1	8,1
De 20 a 24 años	Ambos sexos	Porcentaje	2007T4	8,3
De 20 a 24 años	Ambos sexos	Porcentaje	2007T3	8,7
De 20 a 24 años	Ambos sexos	Porcentaje	2007T2	8,4
De 20 a 24 años	Ambos sexos	Porcentaje	2007T1	8,5
De 20 a 24 años	Ambos sexos	Porcentaje	2006T4	8,7
De 20 a 24 años	Ambos sexos	Porcentaje	2006T3	9,0
De 20 a 24 años	Ambos sexos	Porcentaje	2006T2	8,9
De 20 a 24 años	Ambos sexos	Porcentaje	2006T1	9,0
De 20 a 24 años	Ambos sexos	Porcentaje	2005T4	9,1
De 20 a 24 años	Ambos sexos	Porcentaje	2005T3	9,5
De 20 a 24 años	Ambos sexos	Porcentaje	2005T2	9,3
De 20 a 24 años	Ambos sexos	Porcentaje	2005T1	9,4
De 20 a 24 años	Ambos sexos	Porcentaje	2004T4	9,2
De 20 a 24 años	Ambos sexos	Porcentaje	2004T3	9,6
De 20 a 24 años	Ambos sexos	Porcentaje	2004T2	9,6
De 20 a 24 años	Ambos sexos	Porcentaje	2004T1	9,6
De 20 a 24 años	Ambos sexos	Porcentaje	2003T4	9,7
De 20 a 24 años	Ambos sexos	Porcentaje	2003T3	10,1
De 20 a 24 años	Ambos sexos	Porcentaje	2003T2	9,9
De 20 a 24 años	Ambos sexos	Porcentaje	2003T1	10,0
De 20 a 24 años	Ambos sexos	Porcentaje	2002T4	10,2
De 20 a 24 años	Ambos sexos	Porcentaje	2002T3	10,5
De 20 a 24 años	Ambos sexos	Porcentaje	2002T2	10,4
De 20 a 24 años	Ambos sexos	Porcentaje	2002T1	10,4
De 20 a 24 años	Hombres	Valor absoluto	2022T3	769,5
De 20 a 24 años	Hombres	Valor absoluto	2022T2	720,8
De 20 a 24 años	Hombres	Valor absoluto	2022T1	677,0
De 20 a 24 años	Hombres	Valor absoluto	2021T4	658,2
De 20 a 24 años	Hombres	Valor absoluto	2021T3	729,6
De 20 a 24 años	Hombres	Valor absoluto	2021T2	682,1
De 20 a 24 años	Hombres	Valor absoluto	2021T1	650,2
De 20 a 24 años	Hombres	Valor absoluto	2020T4	651,7
De 20 a 24 años	Hombres	Valor absoluto	2020T3	682,2
De 20 a 24 años	Hombres	Valor absoluto	2020T2	599,0
De 20 a 24 años	Hombres	Valor absoluto	2020T1	665,6
De 20 a 24 años	Hombres	Valor absoluto	2019T4	684,0
De 20 a 24 años	Hombres	Valor absoluto	2019T3	735,6
De 20 a 24 años	Hombres	Valor absoluto	2019T2	676,5
De 20 a 24 años	Hombres	Valor absoluto	2019T1	639,7
De 20 a 24 años	Hombres	Valor absoluto	2018T4	663,4
De 20 a 24 años	Hombres	Valor absoluto	2018T3	703,9
De 20 a 24 años	Hombres	Valor absoluto	2018T2	665,9
De 20 a 24 años	Hombres	Valor absoluto	2018T1	639,2
De 20 a 24 años	Hombres	Valor absoluto	2017T4	641,9
De 20 a 24 años	Hombres	Valor absoluto	2017T3	701,4
De 20 a 24 años	Hombres	Valor absoluto	2017T2	646,1
De 20 a 24 años	Hombres	Valor absoluto	2017T1	631,6
De 20 a 24 años	Hombres	Valor absoluto	2016T4	640,2
De 20 a 24 años	Hombres	Valor absoluto	2016T3	669,2
De 20 a 24 años	Hombres	Valor absoluto	2016T2	670,1
De 20 a 24 años	Hombres	Valor absoluto	2016T1	650,1
De 20 a 24 años	Hombres	Valor absoluto	2015T4	667,7
De 20 a 24 años	Hombres	Valor absoluto	2015T3	707,0
De 20 a 24 años	Hombres	Valor absoluto	2015T2	677,6
De 20 a 24 años	Hombres	Valor absoluto	2015T1	682,8
De 20 a 24 años	Hombres	Valor absoluto	2014T4	692,9
De 20 a 24 años	Hombres	Valor absoluto	2014T3	738,3
De 20 a 24 años	Hombres	Valor absoluto	2014T2	709,1
De 20 a 24 años	Hombres	Valor absoluto	2014T1	710,0
De 20 a 24 años	Hombres	Valor absoluto	2013T4	730,4
De 20 a 24 años	Hombres	Valor absoluto	2013T3	769,0
De 20 a 24 años	Hombres	Valor absoluto	2013T2	753,5
De 20 a 24 años	Hombres	Valor absoluto	2013T1	755,0
De 20 a 24 años	Hombres	Valor absoluto	2012T4	765,8
De 20 a 24 años	Hombres	Valor absoluto	2012T3	816,1
De 20 a 24 años	Hombres	Valor absoluto	2012T2	775,9
De 20 a 24 años	Hombres	Valor absoluto	2012T1	777,9
De 20 a 24 años	Hombres	Valor absoluto	2011T4	804,4
De 20 a 24 años	Hombres	Valor absoluto	2011T3	845,8
De 20 a 24 años	Hombres	Valor absoluto	2011T2	829,8
De 20 a 24 años	Hombres	Valor absoluto	2011T1	831,0
De 20 a 24 años	Hombres	Valor absoluto	2010T4	861,7
De 20 a 24 años	Hombres	Valor absoluto	2010T3	904,1
De 20 a 24 años	Hombres	Valor absoluto	2010T2	898,1
De 20 a 24 años	Hombres	Valor absoluto	2010T1	881,7
De 20 a 24 años	Hombres	Valor absoluto	2009T4	915,1
De 20 a 24 años	Hombres	Valor absoluto	2009T3	964,8
De 20 a 24 años	Hombres	Valor absoluto	2009T2	957,5
De 20 a 24 años	Hombres	Valor absoluto	2009T1	976,4
De 20 a 24 años	Hombres	Valor absoluto	2008T4	1.013,6
De 20 a 24 años	Hombres	Valor absoluto	2008T3	1.063,1
De 20 a 24 años	Hombres	Valor absoluto	2008T2	1.019,1
De 20 a 24 años	Hombres	Valor absoluto	2008T1	1.012,6
De 20 a 24 años	Hombres	Valor absoluto	2007T4	1.023,3
De 20 a 24 años	Hombres	Valor absoluto	2007T3	1.064,1
De 20 a 24 años	Hombres	Valor absoluto	2007T2	1.031,5
De 20 a 24 años	Hombres	Valor absoluto	2007T1	1.031,0
De 20 a 24 años	Hombres	Valor absoluto	2006T4	1.041,8
De 20 a 24 años	Hombres	Valor absoluto	2006T3	1.075,3
De 20 a 24 años	Hombres	Valor absoluto	2006T2	1.059,3
De 20 a 24 años	Hombres	Valor absoluto	2006T1	1.056,1
De 20 a 24 años	Hombres	Valor absoluto	2005T4	1.080,8
De 20 a 24 años	Hombres	Valor absoluto	2005T3	1.108,2
De 20 a 24 años	Hombres	Valor absoluto	2005T2	1.082,3
De 20 a 24 años	Hombres	Valor absoluto	2005T1	1.082,4
De 20 a 24 años	Hombres	Valor absoluto	2004T4	1.061,6
De 20 a 24 años	Hombres	Valor absoluto	2004T3	1.085,0
De 20 a 24 años	Hombres	Valor absoluto	2004T2	1.070,0
De 20 a 24 años	Hombres	Valor absoluto	2004T1	1.080,2
De 20 a 24 años	Hombres	Valor absoluto	2003T4	1.082,9
De 20 a 24 años	Hombres	Valor absoluto	2003T3	1.116,4
De 20 a 24 años	Hombres	Valor absoluto	2003T2	1.081,4
De 20 a 24 años	Hombres	Valor absoluto	2003T1	1.081,2
De 20 a 24 años	Hombres	Valor absoluto	2002T4	1.074,1
De 20 a 24 años	Hombres	Valor absoluto	2002T3	1.101,3
De 20 a 24 años	Hombres	Valor absoluto	2002T2	1.082,9
De 20 a 24 años	Hombres	Valor absoluto	2002T1	1.088,4
De 20 a 24 años	Hombres	Porcentaje	2022T3	6,2
De 20 a 24 años	Hombres	Porcentaje	2022T2	5,8
De 20 a 24 años	Hombres	Porcentaje	2022T1	5,5
De 20 a 24 años	Hombres	Porcentaje	2021T4	5,4
De 20 a 24 años	Hombres	Porcentaje	2021T3	5,9
De 20 a 24 años	Hombres	Porcentaje	2021T2	5,6
De 20 a 24 años	Hombres	Porcentaje	2021T1	5,4
De 20 a 24 años	Hombres	Porcentaje	2020T4	5,3
De 20 a 24 años	Hombres	Porcentaje	2020T3	5,6
De 20 a 24 años	Hombres	Porcentaje	2020T2	5,1
De 20 a 24 años	Hombres	Porcentaje	2020T1	5,4
De 20 a 24 años	Hombres	Porcentaje	2019T4	5,6
De 20 a 24 años	Hombres	Porcentaje	2019T3	6,0
De 20 a 24 años	Hombres	Porcentaje	2019T2	5,5
De 20 a 24 años	Hombres	Porcentaje	2019T1	5,3
De 20 a 24 años	Hombres	Porcentaje	2018T4	5,4
De 20 a 24 años	Hombres	Porcentaje	2018T3	5,7
De 20 a 24 años	Hombres	Porcentaje	2018T2	5,5
De 20 a 24 años	Hombres	Porcentaje	2018T1	5,3
De 20 a 24 años	Hombres	Porcentaje	2017T4	5,3
De 20 a 24 años	Hombres	Porcentaje	2017T3	5,7
De 20 a 24 años	Hombres	Porcentaje	2017T2	5,3
De 20 a 24 años	Hombres	Porcentaje	2017T1	5,2
De 20 a 24 años	Hombres	Porcentaje	2016T4	5,3
De 20 a 24 años	Hombres	Porcentaje	2016T3	5,5
De 20 a 24 años	Hombres	Porcentaje	2016T2	5,5
De 20 a 24 años	Hombres	Porcentaje	2016T1	5,3
De 20 a 24 años	Hombres	Porcentaje	2015T4	5,5
De 20 a 24 años	Hombres	Porcentaje	2015T3	5,7
De 20 a 24 años	Hombres	Porcentaje	2015T2	5,5
De 20 a 24 años	Hombres	Porcentaje	2015T1	5,5
De 20 a 24 años	Hombres	Porcentaje	2014T4	5,6
De 20 a 24 años	Hombres	Porcentaje	2014T3	6,0
De 20 a 24 años	Hombres	Porcentaje	2014T2	5,7
De 20 a 24 años	Hombres	Porcentaje	2014T1	5,8
De 20 a 24 años	Hombres	Porcentaje	2013T4	5,9
De 20 a 24 años	Hombres	Porcentaje	2013T3	6,1
De 20 a 24 años	Hombres	Porcentaje	2013T2	6,0
De 20 a 24 años	Hombres	Porcentaje	2013T1	6,0
De 20 a 24 años	Hombres	Porcentaje	2012T4	6,1
De 20 a 24 años	Hombres	Porcentaje	2012T3	6,4
De 20 a 24 años	Hombres	Porcentaje	2012T2	6,1
De 20 a 24 años	Hombres	Porcentaje	2012T1	6,1
De 20 a 24 años	Hombres	Porcentaje	2011T4	6,3
De 20 a 24 años	Hombres	Porcentaje	2011T3	6,6
De 20 a 24 años	Hombres	Porcentaje	2011T2	6,5
De 20 a 24 años	Hombres	Porcentaje	2011T1	6,5
De 20 a 24 años	Hombres	Porcentaje	2010T4	6,7
De 20 a 24 años	Hombres	Porcentaje	2010T3	7,0
De 20 a 24 años	Hombres	Porcentaje	2010T2	6,9
De 20 a 24 años	Hombres	Porcentaje	2010T1	6,8
De 20 a 24 años	Hombres	Porcentaje	2009T4	7,1
De 20 a 24 años	Hombres	Porcentaje	2009T3	7,4
De 20 a 24 años	Hombres	Porcentaje	2009T2	7,3
De 20 a 24 años	Hombres	Porcentaje	2009T1	7,4
De 20 a 24 años	Hombres	Porcentaje	2008T4	7,7
De 20 a 24 años	Hombres	Porcentaje	2008T3	8,1
De 20 a 24 años	Hombres	Porcentaje	2008T2	7,8
De 20 a 24 años	Hombres	Porcentaje	2008T1	7,8
De 20 a 24 años	Hombres	Porcentaje	2007T4	7,9
De 20 a 24 años	Hombres	Porcentaje	2007T3	8,2
De 20 a 24 años	Hombres	Porcentaje	2007T2	8,0
De 20 a 24 años	Hombres	Porcentaje	2007T1	8,1
De 20 a 24 años	Hombres	Porcentaje	2006T4	8,2
De 20 a 24 años	Hombres	Porcentaje	2006T3	8,5
De 20 a 24 años	Hombres	Porcentaje	2006T2	8,4
De 20 a 24 años	Hombres	Porcentaje	2006T1	8,5
De 20 a 24 años	Hombres	Porcentaje	2005T4	8,7
De 20 a 24 años	Hombres	Porcentaje	2005T3	8,9
De 20 a 24 años	Hombres	Porcentaje	2005T2	8,8
De 20 a 24 años	Hombres	Porcentaje	2005T1	8,9
De 20 a 24 años	Hombres	Porcentaje	2004T4	8,8
De 20 a 24 años	Hombres	Porcentaje	2004T3	9,0
De 20 a 24 años	Hombres	Porcentaje	2004T2	9,0
De 20 a 24 años	Hombres	Porcentaje	2004T1	9,1
De 20 a 24 años	Hombres	Porcentaje	2003T4	9,2
De 20 a 24 años	Hombres	Porcentaje	2003T3	9,5
De 20 a 24 años	Hombres	Porcentaje	2003T2	9,3
De 20 a 24 años	Hombres	Porcentaje	2003T1	9,4
De 20 a 24 años	Hombres	Porcentaje	2002T4	9,4
De 20 a 24 años	Hombres	Porcentaje	2002T3	9,6
De 20 a 24 años	Hombres	Porcentaje	2002T2	9,6
De 20 a 24 años	Hombres	Porcentaje	2002T1	9,7
De 20 a 24 años	Mujeres	Valor absoluto	2022T3	638,4
De 20 a 24 años	Mujeres	Valor absoluto	2022T2	626,1
De 20 a 24 años	Mujeres	Valor absoluto	2022T1	579,0
De 20 a 24 años	Mujeres	Valor absoluto	2021T4	574,0
De 20 a 24 años	Mujeres	Valor absoluto	2021T3	630,2
De 20 a 24 años	Mujeres	Valor absoluto	2021T2	603,9
De 20 a 24 años	Mujeres	Valor absoluto	2021T1	550,0
De 20 a 24 años	Mujeres	Valor absoluto	2020T4	556,5
De 20 a 24 años	Mujeres	Valor absoluto	2020T3	588,0
De 20 a 24 años	Mujeres	Valor absoluto	2020T2	490,6
De 20 a 24 años	Mujeres	Valor absoluto	2020T1	561,6
De 20 a 24 años	Mujeres	Valor absoluto	2019T4	571,5
De 20 a 24 años	Mujeres	Valor absoluto	2019T3	613,4
De 20 a 24 años	Mujeres	Valor absoluto	2019T2	573,4
De 20 a 24 años	Mujeres	Valor absoluto	2019T1	565,0
De 20 a 24 años	Mujeres	Valor absoluto	2018T4	580,1
De 20 a 24 años	Mujeres	Valor absoluto	2018T3	595,1
De 20 a 24 años	Mujeres	Valor absoluto	2018T2	570,7
De 20 a 24 años	Mujeres	Valor absoluto	2018T1	542,1
De 20 a 24 años	Mujeres	Valor absoluto	2017T4	589,3
De 20 a 24 años	Mujeres	Valor absoluto	2017T3	610,5
De 20 a 24 años	Mujeres	Valor absoluto	2017T2	578,6
De 20 a 24 años	Mujeres	Valor absoluto	2017T1	560,1
De 20 a 24 años	Mujeres	Valor absoluto	2016T4	555,9
De 20 a 24 años	Mujeres	Valor absoluto	2016T3	607,0
De 20 a 24 años	Mujeres	Valor absoluto	2016T2	587,7
De 20 a 24 años	Mujeres	Valor absoluto	2016T1	567,1
De 20 a 24 años	Mujeres	Valor absoluto	2015T4	584,5
De 20 a 24 años	Mujeres	Valor absoluto	2015T3	647,2
De 20 a 24 años	Mujeres	Valor absoluto	2015T2	625,6
De 20 a 24 años	Mujeres	Valor absoluto	2015T1	597,5
De 20 a 24 años	Mujeres	Valor absoluto	2014T4	627,9
De 20 a 24 años	Mujeres	Valor absoluto	2014T3	642,4
De 20 a 24 años	Mujeres	Valor absoluto	2014T2	630,1
De 20 a 24 años	Mujeres	Valor absoluto	2014T1	637,0
De 20 a 24 años	Mujeres	Valor absoluto	2013T4	656,0
De 20 a 24 años	Mujeres	Valor absoluto	2013T3	684,5
De 20 a 24 años	Mujeres	Valor absoluto	2013T2	671,6
De 20 a 24 años	Mujeres	Valor absoluto	2013T1	694,5
De 20 a 24 años	Mujeres	Valor absoluto	2012T4	695,8
De 20 a 24 años	Mujeres	Valor absoluto	2012T3	733,5
De 20 a 24 años	Mujeres	Valor absoluto	2012T2	725,6
De 20 a 24 años	Mujeres	Valor absoluto	2012T1	721,1
De 20 a 24 años	Mujeres	Valor absoluto	2011T4	738,4
De 20 a 24 años	Mujeres	Valor absoluto	2011T3	787,5
De 20 a 24 años	Mujeres	Valor absoluto	2011T2	762,7
De 20 a 24 años	Mujeres	Valor absoluto	2011T1	764,4
De 20 a 24 años	Mujeres	Valor absoluto	2010T4	775,5
De 20 a 24 años	Mujeres	Valor absoluto	2010T3	820,3
De 20 a 24 años	Mujeres	Valor absoluto	2010T2	779,0
De 20 a 24 años	Mujeres	Valor absoluto	2010T1	789,8
De 20 a 24 años	Mujeres	Valor absoluto	2009T4	814,0
De 20 a 24 años	Mujeres	Valor absoluto	2009T3	855,7
De 20 a 24 años	Mujeres	Valor absoluto	2009T2	829,4
De 20 a 24 años	Mujeres	Valor absoluto	2009T1	835,8
De 20 a 24 años	Mujeres	Valor absoluto	2008T4	862,9
De 20 a 24 años	Mujeres	Valor absoluto	2008T3	888,3
De 20 a 24 años	Mujeres	Valor absoluto	2008T2	858,9
De 20 a 24 años	Mujeres	Valor absoluto	2008T1	834,5
De 20 a 24 años	Mujeres	Valor absoluto	2007T4	856,3
De 20 a 24 años	Mujeres	Valor absoluto	2007T3	899,1
De 20 a 24 años	Mujeres	Valor absoluto	2007T2	855,3
De 20 a 24 años	Mujeres	Valor absoluto	2007T1	843,5
De 20 a 24 años	Mujeres	Valor absoluto	2006T4	875,0
De 20 a 24 años	Mujeres	Valor absoluto	2006T3	895,1
De 20 a 24 años	Mujeres	Valor absoluto	2006T2	883,6
De 20 a 24 años	Mujeres	Valor absoluto	2006T1	879,1
De 20 a 24 años	Mujeres	Valor absoluto	2005T4	874,2
De 20 a 24 años	Mujeres	Valor absoluto	2005T3	913,8
De 20 a 24 años	Mujeres	Valor absoluto	2005T2	891,7
De 20 a 24 años	Mujeres	Valor absoluto	2005T1	879,1
De 20 a 24 años	Mujeres	Valor absoluto	2004T4	846,3
De 20 a 24 años	Mujeres	Valor absoluto	2004T3	887,1
De 20 a 24 años	Mujeres	Valor absoluto	2004T2	866,6
De 20 a 24 años	Mujeres	Valor absoluto	2004T1	849,8
De 20 a 24 años	Mujeres	Valor absoluto	2003T4	861,8
De 20 a 24 años	Mujeres	Valor absoluto	2003T3	893,2
De 20 a 24 años	Mujeres	Valor absoluto	2003T2	866,5
De 20 a 24 años	Mujeres	Valor absoluto	2003T1	863,1
De 20 a 24 años	Mujeres	Valor absoluto	2002T4	880,1
De 20 a 24 años	Mujeres	Valor absoluto	2002T3	896,8
De 20 a 24 años	Mujeres	Valor absoluto	2002T2	871,3
De 20 a 24 años	Mujeres	Valor absoluto	2002T1	853,1
De 20 a 24 años	Mujeres	Porcentaje	2022T3	5,8
De 20 a 24 años	Mujeres	Porcentaje	2022T2	5,7
De 20 a 24 años	Mujeres	Porcentaje	2022T1	5,3
De 20 a 24 años	Mujeres	Porcentaje	2021T4	5,2
De 20 a 24 años	Mujeres	Porcentaje	2021T3	5,7
De 20 a 24 años	Mujeres	Porcentaje	2021T2	5,5
De 20 a 24 años	Mujeres	Porcentaje	2021T1	5,1
De 20 a 24 años	Mujeres	Porcentaje	2020T4	5,1
De 20 a 24 años	Mujeres	Porcentaje	2020T3	5,5
De 20 a 24 años	Mujeres	Porcentaje	2020T2	4,8
De 20 a 24 años	Mujeres	Porcentaje	2020T1	5,2
De 20 a 24 años	Mujeres	Porcentaje	2019T4	5,3
De 20 a 24 años	Mujeres	Porcentaje	2019T3	5,7
De 20 a 24 años	Mujeres	Porcentaje	2019T2	5,3
De 20 a 24 años	Mujeres	Porcentaje	2019T1	5,3
De 20 a 24 años	Mujeres	Porcentaje	2018T4	5,5
De 20 a 24 años	Mujeres	Porcentaje	2018T3	5,6
De 20 a 24 años	Mujeres	Porcentaje	2018T2	5,4
De 20 a 24 años	Mujeres	Porcentaje	2018T1	5,1
De 20 a 24 años	Mujeres	Porcentaje	2017T4	5,6
De 20 a 24 años	Mujeres	Porcentaje	2017T3	5,8
De 20 a 24 años	Mujeres	Porcentaje	2017T2	5,5
De 20 a 24 años	Mujeres	Porcentaje	2017T1	5,3
De 20 a 24 años	Mujeres	Porcentaje	2016T4	5,3
De 20 a 24 años	Mujeres	Porcentaje	2016T3	5,7
De 20 a 24 años	Mujeres	Porcentaje	2016T2	5,5
De 20 a 24 años	Mujeres	Porcentaje	2016T1	5,4
De 20 a 24 años	Mujeres	Porcentaje	2015T4	5,5
De 20 a 24 años	Mujeres	Porcentaje	2015T3	6,1
De 20 a 24 años	Mujeres	Porcentaje	2015T2	5,9
De 20 a 24 años	Mujeres	Porcentaje	2015T1	5,6
De 20 a 24 años	Mujeres	Porcentaje	2014T4	5,9
De 20 a 24 años	Mujeres	Porcentaje	2014T3	6,1
De 20 a 24 años	Mujeres	Porcentaje	2014T2	5,9
De 20 a 24 años	Mujeres	Porcentaje	2014T1	6,0
De 20 a 24 años	Mujeres	Porcentaje	2013T4	6,2
De 20 a 24 años	Mujeres	Porcentaje	2013T3	6,4
De 20 a 24 años	Mujeres	Porcentaje	2013T2	6,3
De 20 a 24 años	Mujeres	Porcentaje	2013T1	6,5
De 20 a 24 años	Mujeres	Porcentaje	2012T4	6,5
De 20 a 24 años	Mujeres	Porcentaje	2012T3	6,8
De 20 a 24 años	Mujeres	Porcentaje	2012T2	6,8
De 20 a 24 años	Mujeres	Porcentaje	2012T1	6,7
De 20 a 24 años	Mujeres	Porcentaje	2011T4	7,0
De 20 a 24 años	Mujeres	Porcentaje	2011T3	7,4
De 20 a 24 años	Mujeres	Porcentaje	2011T2	7,2
De 20 a 24 años	Mujeres	Porcentaje	2011T1	7,3
De 20 a 24 años	Mujeres	Porcentaje	2010T4	7,4
De 20 a 24 años	Mujeres	Porcentaje	2010T3	7,9
De 20 a 24 años	Mujeres	Porcentaje	2010T2	7,5
De 20 a 24 años	Mujeres	Porcentaje	2010T1	7,6
De 20 a 24 años	Mujeres	Porcentaje	2009T4	7,9
De 20 a 24 años	Mujeres	Porcentaje	2009T3	8,4
De 20 a 24 años	Mujeres	Porcentaje	2009T2	8,1
De 20 a 24 años	Mujeres	Porcentaje	2009T1	8,2
De 20 a 24 años	Mujeres	Porcentaje	2008T4	8,5
De 20 a 24 años	Mujeres	Porcentaje	2008T3	8,9
De 20 a 24 años	Mujeres	Porcentaje	2008T2	8,7
De 20 a 24 años	Mujeres	Porcentaje	2008T1	8,5
De 20 a 24 años	Mujeres	Porcentaje	2007T4	8,8
De 20 a 24 años	Mujeres	Porcentaje	2007T3	9,4
De 20 a 24 años	Mujeres	Porcentaje	2007T2	9,0
De 20 a 24 años	Mujeres	Porcentaje	2007T1	9,0
De 20 a 24 años	Mujeres	Porcentaje	2006T4	9,4
De 20 a 24 años	Mujeres	Porcentaje	2006T3	9,8
De 20 a 24 años	Mujeres	Porcentaje	2006T2	9,7
De 20 a 24 años	Mujeres	Porcentaje	2006T1	9,7
De 20 a 24 años	Mujeres	Porcentaje	2005T4	9,8
De 20 a 24 años	Mujeres	Porcentaje	2005T3	10,4
De 20 a 24 años	Mujeres	Porcentaje	2005T2	10,2
De 20 a 24 años	Mujeres	Porcentaje	2005T1	10,2
De 20 a 24 años	Mujeres	Porcentaje	2004T4	9,9
De 20 a 24 años	Mujeres	Porcentaje	2004T3	10,5
De 20 a 24 años	Mujeres	Porcentaje	2004T2	10,4
De 20 a 24 años	Mujeres	Porcentaje	2004T1	10,3
De 20 a 24 años	Mujeres	Porcentaje	2003T4	10,5
De 20 a 24 años	Mujeres	Porcentaje	2003T3	11,0
De 20 a 24 años	Mujeres	Porcentaje	2003T2	10,9
De 20 a 24 años	Mujeres	Porcentaje	2003T1	11,0
De 20 a 24 años	Mujeres	Porcentaje	2002T4	11,4
De 20 a 24 años	Mujeres	Porcentaje	2002T3	11,7
De 20 a 24 años	Mujeres	Porcentaje	2002T2	11,5
De 20 a 24 años	Mujeres	Porcentaje	2002T1	11,5
De 25 a 29 años	Ambos sexos	Valor absoluto	2022T3	2.101,4
De 25 a 29 años	Ambos sexos	Valor absoluto	2022T2	2.097,6
De 25 a 29 años	Ambos sexos	Valor absoluto	2022T1	2.095,5
De 25 a 29 años	Ambos sexos	Valor absoluto	2021T4	2.106,3
De 25 a 29 años	Ambos sexos	Valor absoluto	2021T3	2.129,6
De 25 a 29 años	Ambos sexos	Valor absoluto	2021T2	2.122,2
De 25 a 29 años	Ambos sexos	Valor absoluto	2021T1	2.087,8
De 25 a 29 años	Ambos sexos	Valor absoluto	2020T4	2.131,0
De 25 a 29 años	Ambos sexos	Valor absoluto	2020T3	2.078,4
De 25 a 29 años	Ambos sexos	Valor absoluto	2020T2	1.969,0
De 25 a 29 años	Ambos sexos	Valor absoluto	2020T1	2.095,0
De 25 a 29 años	Ambos sexos	Valor absoluto	2019T4	2.122,1
De 25 a 29 años	Ambos sexos	Valor absoluto	2019T3	2.108,0
De 25 a 29 años	Ambos sexos	Valor absoluto	2019T2	2.089,6
De 25 a 29 años	Ambos sexos	Valor absoluto	2019T1	2.081,9
De 25 a 29 años	Ambos sexos	Valor absoluto	2018T4	2.094,8
De 25 a 29 años	Ambos sexos	Valor absoluto	2018T3	2.100,7
De 25 a 29 años	Ambos sexos	Valor absoluto	2018T2	2.105,6
De 25 a 29 años	Ambos sexos	Valor absoluto	2018T1	2.101,8
De 25 a 29 años	Ambos sexos	Valor absoluto	2017T4	2.101,7
De 25 a 29 años	Ambos sexos	Valor absoluto	2017T3	2.117,8
De 25 a 29 años	Ambos sexos	Valor absoluto	2017T2	2.121,6
De 25 a 29 años	Ambos sexos	Valor absoluto	2017T1	2.102,5
De 25 a 29 años	Ambos sexos	Valor absoluto	2016T4	2.123,2
De 25 a 29 años	Ambos sexos	Valor absoluto	2016T3	2.151,6
De 25 a 29 años	Ambos sexos	Valor absoluto	2016T2	2.141,8
De 25 a 29 años	Ambos sexos	Valor absoluto	2016T1	2.145,3
De 25 a 29 años	Ambos sexos	Valor absoluto	2015T4	2.173,5
De 25 a 29 años	Ambos sexos	Valor absoluto	2015T3	2.195,7
De 25 a 29 años	Ambos sexos	Valor absoluto	2015T2	2.211,1
De 25 a 29 años	Ambos sexos	Valor absoluto	2015T1	2.247,0
De 25 a 29 años	Ambos sexos	Valor absoluto	2014T4	2.290,8
De 25 a 29 años	Ambos sexos	Valor absoluto	2014T3	2.314,6
De 25 a 29 años	Ambos sexos	Valor absoluto	2014T2	2.332,6
De 25 a 29 años	Ambos sexos	Valor absoluto	2014T1	2.344,5
De 25 a 29 años	Ambos sexos	Valor absoluto	2013T4	2.387,1
De 25 a 29 años	Ambos sexos	Valor absoluto	2013T3	2.436,6
De 25 a 29 años	Ambos sexos	Valor absoluto	2013T2	2.442,6
De 25 a 29 años	Ambos sexos	Valor absoluto	2013T1	2.492,2
De 25 a 29 años	Ambos sexos	Valor absoluto	2012T4	2.537,1
De 25 a 29 años	Ambos sexos	Valor absoluto	2012T3	2.569,8
De 25 a 29 años	Ambos sexos	Valor absoluto	2012T2	2.606,9
De 25 a 29 años	Ambos sexos	Valor absoluto	2012T1	2.627,7
